rule_question_id, concept_id
1586,1
1587,1
1584,2
1585,2
1582,2
1583,2
1588,1
1589,1
1593,2
1594,2
1595,2
1596,2
1597,2
1590,2
1591,2
1592,2
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1795,3
1797,3
1798,3
1799,3
1800,3
1801,3
1802,3
1796,3
1815,4
1816,4
1817,4
1818,4
1819,4
1820,4
1821,5
1822,5
1831,6
1832,6
1825,6
1826,6
1823,5
1824,5
1803,7
1804,7
1805,7
1806,7
1807,7
1808,7
1809,7
1810,7
1811,7
1812,7
1814,4
1813,5
1827,6
1828,6
1829,6
1830,6
826,8
827,8
844,9
843,10
845,10
869,11
870,11
871,11
1833,12
1834,12
1835,12
1836,12
855,13
856,13
876,13
2071,14
2060,14
2065,14
2066,14
2067,14
2068,14
627,14
1413,15
1414,15
1415,15
1416,15
1417,15
1418,15
1419,15
1420,15
1421,15
2159,16
2160,16
2161,16
2162,16
2163,16
2166,16
2167,16
2168,16
2169,16
2170,16
2115,17
2116,17
2117,17
2118,17
2119,17
2120,17
2121,17
2122,17
2123,17
2125,17
2128,17
2131,17
2132,17
2102,18
2103,18
2104,18
2105,18
2106,18
2107,18
2108,18
2109,18
2110,18
2111,18
2124,18
2126,18
2127,18
2100,18
2101,18
2175,19
2176,19
2181,19
2112,20
2113,20
2114,20
2129,20
2130,20
2062,21
2063,21
2053,22
2054,22
2055,22
2056,22
2057,22
2058,22
2052,22
786,22
787,22
788,22
841,23
840,24
842,24
1715,25
1716,25
1717,25
1718,25
1714,25
1719,25
1720,25
1721,25
2050,26
2051,26
2048,26
2049,26
2045,26
1964,27
1965,27
1957,27
1958,27
1959,27
1960,27
1961,27
1962,27
1963,27
1984,28
2070,28
1059,28
2087,28
2088,28
2089,28
2090,28
2091,28
2092,28
2093,28
2094,28
2095,28
2096,28
2097,28
2098,28
2099,28
2037,29
2038,29
2039,29
2041,29
2031,30
2032,30
2033,30
2030,30
2034,31
2035,31
2036,31
2040,31
674,32
675,32
676,32
1876,32
1877,32
1878,32
1879,32
1880,32
1881,32
1882,32
1883,32
2135,33
2136,33
2137,33
2138,33
2139,33
2140,33
2141,33
2142,33
2143,33
2144,33
2133,33
2134,33
2044,34
2046,34
2042,34
2043,34
2047,34
2145,34
2146,34
2147,34
2148,34
2149,34
2150,34
2151,34
2152,34
2153,34
2154,34
2155,34
2156,34
1976,34
1981,34
2157,34
2158,34
1982,35
1977,35
1674,36
1675,36
1676,36
1677,36
1678,36
1679,36
1680,36
1681,36
1682,36
1683,36
